CodFiscalClient,NrFactura,Libraria,DataFactura,Valoare Marfuri,ValTVAMarfa,Valoare Produse,ValTVAProduse,BAZA,TOTALTVA,TOTAL,Denumire
361307,20220910,7,5/11/2022,520.5,98.9,218.5,41.52,739,140.42,879.42,COMPANIA DE LIBRARII S.A.
361307,20220911,109,5/11/2022,0,0,120,22.8,120,22.8,142.8,COMPANIA DE LIBRARII S.A.
27959869,20220912,,5/11/2022,0,0,1095,208.05,1095,208.05,1303.05,LIBRACRIS IMPEXCOM SRL
361307,20220913,880,5/11/2022,1239,235.41,0,0,1239,235.41,1474.41,COMPANIA DE LIBRARII S.A.
361307,20220914,56,5/11/2022,443.75,84.31,857.5,162.92,1301.25,247.23,1548.48,COMPANIA DE LIBRARII S.A.
361307,20220915,37,5/12/2022,532.5,101.18,901.5,171.28,1434,272.46,1706.46,COMPANIA DE LIBRARII S.A.
361307,20220916,117,5/12/2022,720,136.8,143.5,27.26,863.5,164.06,1027.56,COMPANIA DE LIBRARII S.A.
361307,20220917,22,5/12/2022,532.5,101.18,351.5,66.78,884,167.96,1051.96,COMPANIA DE LIBRARII S.A.
361307,20220918,55,5/12/2022,0,0,250,47.5,250,47.5,297.5,COMPANIA DE LIBRARII S.A.
361307,20220919,60,5/12/2022,62,11.78,0,0,62,11.78,73.78,COMPANIA DE LIBRARII S.A.
361307,20220920,10,5/12/2022,20,3.8,0,0,20,3.8,23.8,COMPANIA DE LIBRARII S.A.
361307,20220921,60,5/12/2022,0,0,-18.5,-3.52,-18.5,-3.52,-22.02,COMPANIA DE LIBRARII S.A.
361307,20220922,10,5/12/2022,0,0,-17.85,-3.39,-17.85,-3.39,-21.24,COMPANIA DE LIBRARII S.A.
361307,20220923,centru,5/12/2022,611,116.09,283.5,53.86,894.5,169.95,1064.45,COMPANIA DE LIBRARII S.A.
361307,20220924,41,5/12/2022,0,0,151.3,28.75,151.3,28.75,180.05,COMPANIA DE LIBRARII S.A.
361307,20220925,94,5/12/2022,0,0,917.8,174.38,917.8,174.38,1092.18,COMPANIA DE LIBRARII S.A.
361307,20220926,128,5/13/2022,0,0,240,45.6,240,45.6,285.6,COMPANIA DE LIBRARII S.A.
361307,20220927,34,5/13/2022,0,0,43,8.17,43,8.17,51.17,COMPANIA DE LIBRARII S.A.
361307,20220928,53,5/13/2022,0,0,550.8,104.65,550.8,104.65,655.45,COMPANIA DE LIBRARII S.A.
361307,20220929,139,5/13/2022,443.75,84.31,416.5,79.13,860.25,163.44,1023.69,COMPANIA DE LIBRARII S.A.
361307,20220930,15,5/13/2022,532.5,101.18,0,0,532.5,101.18,633.68,COMPANIA DE LIBRARII S.A.
15413099,20220931,Cointreau,5/13/2022,677,128.63,0,0,677,128.63,805.63,BDG IMPORT  S.R.L
361307,20220932,13,5/13/2022,887.5,168.62,1035,196.65,1922.5,365.27,2287.77,COMPANIA DE LIBRARII S.A.
14171183,20220933,,5/16/2022,0,0,370,70.3,370,70.3,440.3,DUO START S.R.L.
361307,20220934,41,5/16/2022,1004.5,190.86,54,10.26,1058.5,201.12,1259.62,COMPANIA DE LIBRARII S.A.
361307,20220935,12,5/16/2022,540,102.6,37.5,7.12,577.5,109.72,687.22,COMPANIA DE LIBRARII S.A.
361307,20220936,34,5/16/2022,928.75,176.46,159.5,30.3,1088.25,206.76,1295.01,COMPANIA DE LIBRARII S.A.
361307,20220937,880,5/16/2022,660.5,125.5,2279,433.01,2939.5,558.51,3498.01,COMPANIA DE LIBRARII S.A.
361307,20220938,44,5/16/2022,523,99.37,639.5,121.5,1162.5,220.87,1383.37,COMPANIA DE LIBRARII S.A.
20752873,20220939,Lightyear,5/16/2022,3495,664.05,0,0,3495,664.05,4159.05,Forum Film Romania SRL
361307,20220940,39,5/16/2022,160,30.4,506.9,96.31,666.9,126.71,793.61,COMPANIA DE LIBRARII S.A.
361307,20220941,42,5/17/2022,165,31.35,395.8,75.2,560.8,106.55,667.35,COMPANIA DE LIBRARII S.A.
13467556,20220942,polus,5/17/2022,383.45,72.86,0,0,383.45,72.86,456.31,International Paper Business Srl
